ID,Priority,Week,Workstream,Category,Task,How To (Steps),Deliverable / Definition of Done,Owner,Status,Start Date,Due Date,Completion %,Dependencies,Links / Assets,Notes
T027,High,Week 3,Local SEO,GBP,Upload 20 job photos + 3 GBP posts + Q&A set,Upload photos; schedule posts; add Q&A entries,Photos uploaded; posts live; engagement tracked,Usama Nizamani,Not Started,2026-03-02,2026-03-08,0,,,
T028,High,Week 3,Local SEO,Reviews,Review engine: request 5–10 reviews/week + respond to all,Automate request after job; respond within 48h; track counts,Review velocity increases; response rate 100%,Usama Nizamani,Not Started,2026-03-02,2026-03-08,0,,,
T029,High,Week 3,SEO,CRO,Improve on-page conversion: stronger above-fold copy + trust + CTA,Iterate hero headline; add response time; move CTA above fold,Conversion rate improves vs baseline,Usama Nizamani,Not Started,2026-03-02,2026-03-08,0,,,
T030,High,Week 4,Off-Page,Citations,Build 10 NZ citations/directories (NAP consistent),Submit to top NZ directories; ensure identical NAP,10 listings live or submitted; tracking sheet updated,Usama Nizamani,Not Started,2026-03-09,2026-03-15,0,,,
T031,High,Week 4,Off-Page,Backlinks,Backlink outreach: 10 prospects + 10 follow-ups,"Build list: property managers, builders, insurance blogs; outreach email",At least 2 links acquired or in progress,Usama Nizamani,Not Started,2026-03-09,2026-03-15,0,,,
T032,Medium,Week 4,Off-Page,PR/Guest Posts,Write and publish 1 guest post,Pitch local property/home blog; include contextual link,1 guest post live; link indexed,Usama Nizamani,Not Started,2026-03-09,2026-03-15,0,,,
T033,High,Week 4,Ads,Scaling,Scale winning campaigns + cut losers,Increase budgets on best CPCall; pause poor ad groups; adjust bids,Spend efficient; CPCall stable or improving,Usama Nizamani,Not Started,2026-03-09,2026-03-15,0,,,
T034,High,Week 4,Ads,Call Ads,Test call-only ads for emergency,Launch call-only campaign; schedule 24/7; track calls,Call-only producing qualified calls within target CPCall,Usama Nizamani,Not Started,2026-03-09,2026-03-15,0,,,
T035,High,Week 4,SEO,Programmatic,Create programmatic suburb SEO system (template + rules),Finalise suburb template; content rules; publish pipeline,Template ready; content generation workflow documented,Usama Nizamani,Not Started,2026-03-09,2026-03-15,0,,,
T036,Medium,Week 4,Content,Video SEO,Publish 1 job walkthrough video + embed on landing/service page,Film/edit short video; upload to YouTube; embed; add schema,Video published; embedded; indexed in Google,Usama Nizamani,Not Started,2026-03-09,2026-03-15,0,,,
T037,Medium,Week 4,Content,Authority,Create long-form 'Auckland Flood Restoration Guide',3k+ words; step-by-step; FAQ; internal links; downloadable checklist,Guide live; used for outreach + internal links,Usama Nizamani,Not Started,2026-03-09,2026-03-15,0,,,
T038,High,Week 4,SEO,E-E-A-T,Add E-E-A-T trust signals sitewide,"Add certifications, process, team/credentials, reviews; improve About sections",Trust blocks visible on key pages; improves conversions,Usama Nizamani,Not Started,2026-03-09,2026-03-15,0,,,
T039,High,Week 5,SEO,Local SEO,Publish next 5 suburb pages (batch 3),Create next set of suburbs; keep unique content,5 pages live,Usama Nizamani,Not Started,2026-03-16,2026-03-22,0,,,
T040,High,Week 5,Ads,Optimisation,"Optimise ads every 3 days (keywords, bids, negatives)","Mon/Thu/Sat: review search terms, negatives, bids; pause losers",Weekly notes show actions; CPCall trend improves,Usama Nizamani,Not Started,2026-03-16,2026-03-22,0,,,
T041,High,Week 5,Ops,Reporting,"Update KPI dashboard (spend, calls, jobs, revenue)",Fill Data Entry daily; review dashboard Monday,Dashboard up to date; decisions recorded,Usama Nizamani,Not Started,2026-03-16,2026-03-22,0,,,
T042,High,Week 5,SEO,Local SEO,Publish 5 suburb pages/week until 50+,Use template; unique intro/FAQs; add internal links; request index,5 pages/week live; indexed growth tracked,Usama Nizamani,Not Started,2026-03-16,2026-03-22,0,,,
T043,Medium,Week 5,Content,Blog,Publish 2 blogs/week (high intent),Use blog SOP; include CTA + FAQs + internal links,2 blogs/week live; impressions grow,Usama Nizamani,Not Started,2026-03-16,2026-03-22,0,,,
T044,High,Week 5,Off-Page,Links,Build 3–5 links/week (citations + outreach),3 citations + 2 outreach; track in off-page sheet,Links acquired and recorded,Usama Nizamani,Not Started,2026-03-16,2026-03-22,0,,,
T045,High,Week 5,Local SEO,GBP,GBP: 3 posts/week + photos weekly,Schedule posts; upload job photos; answer Q&A,GBP activity consistent,Usama Nizamani,Not Started,2026-03-16,2026-03-22,0,,,
T046,High,Week 5,Local SEO,Reviews,Request 5+ reviews/week + respond to all,Send review requests; respond within 48h,Review velocity maintained,Usama Nizamani,Not Started,2026-03-16,2026-03-22,0,,,
T047,Medium,Week 5,CRO,Landing Pages,Landing page CRO tweaks based on conversion rate,"Test headlines, proof placement, CTA; measure changes",Conversion improves over time,Usama Nizamani,Not Started,2026-03-16,2026-03-22,0,,,
T048,High,Week 6,SEO,Local SEO,Publish next 5 suburb pages (batch 4),Create next set; internal links,5 pages live,Usama Nizamani,Not Started,2026-03-23,2026-03-29,0,,,
T049,High,Week 6,Ads,Optimisation,"Optimise ads every 3 days (keywords, bids, negatives)","Mon/Thu/Sat: review search terms, negatives, bids; pause losers",Weekly notes show actions; CPCall trend improves,Usama Nizamani,Not Started,2026-03-23,2026-03-29,0,,,
T050,High,Week 6,Ops,Reporting,"Update KPI dashboard (spend, calls, jobs, revenue)",Fill Data Entry daily; review dashboard Monday,Dashboard up to date; decisions recorded,Usama Nizamani,Not Started,2026-03-23,2026-03-29,0,,,
T051,High,Week 6,SEO,Local SEO,Publish 5 suburb pages/week until 50+,Use template; unique intro/FAQs; add internal links; request index,5 pages/week live; indexed growth tracked,Usama Nizamani,Not Started,2026-03-23,2026-03-29,0,,,
T052,Medium,Week 6,Content,Blog,Publish 2 blogs/week (high intent),Use blog SOP; include CTA + FAQs + internal links,2 blogs/week live; impressions grow,Usama Nizamani,Not Started,2026-03-23,2026-03-29,0,,,
T053,High,Week 6,Off-Page,Links,Build 3–5 links/week (citations + outreach),3 citations + 2 outreach; track in off-page sheet,Links acquired and recorded,Usama Nizamani,Not Started,2026-03-23,2026-03-29,0,,,
T054,High,Week 6,Local SEO,GBP,GBP: 3 posts/week + photos weekly,Schedule posts; upload job photos; answer Q&A,GBP activity consistent,Usama Nizamani,Not Started,2026-03-23,2026-03-29,0,,,
T055,High,Week 6,Local SEO,Reviews,Request 5+ reviews/week + respond to all,Send review requests; respond within 48h,Review velocity maintained,Usama Nizamani,Not Started,2026-03-23,2026-03-29,0,,,
T056,Medium,Week 6,CRO,Landing Pages,Landing page CRO tweaks based on conversion rate,"Test headlines, proof placement, CTA; measure changes",Conversion improves over time,Usama Nizamani,Not Started,2026-03-23,2026-03-29,0,,,
T057,High,Week 7,SEO,Local SEO,Publish next 5 suburb pages (batch 5),Create next set; add map/FAQs,5 pages live,Usama Nizamani,Not Started,2026-03-30,2026-04-05,0,,,
T058,High,Week 7,Ads,Optimisation,"Optimise ads every 3 days (keywords, bids, negatives)","Mon/Thu/Sat: review search terms, negatives, bids; pause losers",Weekly notes show actions; CPCall trend improves,Usama Nizamani,Not Started,2026-03-30,2026-04-05,0,,,
T059,High,Week 7,Ops,Reporting,"Update KPI dashboard (spend, calls, jobs, revenue)",Fill Data Entry daily; review dashboard Monday,Dashboard up to date; decisions recorded,Usama Nizamani,Not Started,2026-03-30,2026-04-05,0,,,
T060,High,Week 7,SEO,Local SEO,Publish 5 suburb pages/week until 50+,Use template; unique intro/FAQs; add internal links; request index,5 pages/week live; indexed growth tracked,Usama Nizamani,Not Started,2026-03-30,2026-04-05,0,,,
T061,Medium,Week 7,Content,Blog,Publish 2 blogs/week (high intent),Use blog SOP; include CTA + FAQs + internal links,2 blogs/week live; impressions grow,Usama Nizamani,Not Started,2026-03-30,2026-04-05,0,,,
T062,High,Week 7,Off-Page,Links,Build 3–5 links/week (citations + outreach),3 citations + 2 outreach; track in off-page sheet,Links acquired and recorded,Usama Nizamani,Not Started,2026-03-30,2026-04-05,0,,,
T063,High,Week 7,Local SEO,GBP,GBP: 3 posts/week + photos weekly,Schedule posts; upload job photos; answer Q&A,GBP activity consistent,Usama Nizamani,Not Started,2026-03-30,2026-04-05,0,,,
T064,High,Week 7,Local SEO,Reviews,Request 5+ reviews/week + respond to all,Send review requests; respond within 48h,Review velocity maintained,Usama Nizamani,Not Started,2026-03-30,2026-04-05,0,,,
T065,Medium,Week 7,CRO,Landing Pages,Landing page CRO tweaks based on conversion rate,"Test headlines, proof placement, CTA; measure changes",Conversion improves over time,Usama Nizamani,Not Started,2026-03-30,2026-04-05,0,,,
T066,High,Week 8,SEO,Local SEO,Publish next 5 suburb pages (batch 6),Create next set; request indexing,5 pages live,Usama Nizamani,Not Started,2026-04-06,2026-04-12,0,,,
T067,High,Week 8,Ads,Optimisation,"Optimise ads every 3 days (keywords, bids, negatives)","Mon/Thu/Sat: review search terms, negatives, bids; pause losers",Weekly notes show actions; CPCall trend improves,Usama Nizamani,Not Started,2026-04-06,2026-04-12,0,,,
T068,High,Week 8,Ops,Reporting,"Update KPI dashboard (spend, calls, jobs, revenue)",Fill Data Entry daily; review dashboard Monday,Dashboard up to date; decisions recorded,Usama Nizamani,Not Started,2026-04-06,2026-04-12,0,,,
T069,High,Week 8,SEO,Local SEO,Publish 5 suburb pages/week until 50+,Use template; unique intro/FAQs; add internal links; request index,5 pages/week live; indexed growth tracked,Usama Nizamani,Not Started,2026-04-06,2026-04-12,0,,,
T070,Medium,Week 8,Content,Blog,Publish 2 blogs/week (high intent),Use blog SOP; include CTA + FAQs + internal links,2 blogs/week live; impressions grow,Usama Nizamani,Not Started,2026-04-06,2026-04-12,0,,,
T071,High,Week 8,Off-Page,Links,Build 3–5 links/week (citations + outreach),3 citations + 2 outreach; track in off-page sheet,Links acquired and recorded,Usama Nizamani,Not Started,2026-04-06,2026-04-12,0,,,
T072,High,Week 8,Local SEO,GBP,GBP: 3 posts/week + photos weekly,Schedule posts; upload job photos; answer Q&A,GBP activity consistent,Usama Nizamani,Not Started,2026-04-06,2026-04-12,0,,,
T073,High,Week 8,Local SEO,Reviews,Request 5+ reviews/week + respond to all,Send review requests; respond within 48h,Review velocity maintained,Usama Nizamani,Not Started,2026-04-06,2026-04-12,0,,,
T074,Medium,Week 8,CRO,Landing Pages,Landing page CRO tweaks based on conversion rate,"Test headlines, proof placement, CTA; measure changes",Conversion improves over time,Usama Nizamani,Not Started,2026-04-06,2026-04-12,0,,,
T075,High,Week 9,SEO,Local SEO,Publish next 5 suburb pages (batch 7),Create next set; ensure uniqueness,5 pages live,Usama Nizamani,Not Started,2026-04-13,2026-04-19,0,,,
T076,High,Week 9,Ads,Optimisation,"Optimise ads every 3 days (keywords, bids, negatives)","Mon/Thu/Sat: review search terms, negatives, bids; pause losers",Weekly notes show actions; CPCall trend improves,Usama Nizamani,Not Started,2026-04-13,2026-04-19,0,,,
T077,High,Week 9,Ops,Reporting,"Update KPI dashboard (spend, calls, jobs, revenue)",Fill Data Entry daily; review dashboard Monday,Dashboard up to date; decisions recorded,Usama Nizamani,Not Started,2026-04-13,2026-04-19,0,,,
T078,High,Week 9,SEO,Local SEO,Publish 5 suburb pages/week until 50+,Use template; unique intro/FAQs; add internal links; request index,5 pages/week live; indexed growth tracked,Usama Nizamani,Not Started,2026-04-13,2026-04-19,0,,,
T079,Medium,Week 9,Content,Blog,Publish 2 blogs/week (high intent),Use blog SOP; include CTA + FAQs + internal links,2 blogs/week live; impressions grow,Usama Nizamani,Not Started,2026-04-13,2026-04-19,0,,,
T080,High,Week 9,Off-Page,Links,Build 3–5 links/week (citations + outreach),3 citations + 2 outreach; track in off-page sheet,Links acquired and recorded,Usama Nizamani,Not Started,2026-04-13,2026-04-19,0,,,
T081,High,Week 9,Local SEO,GBP,GBP: 3 posts/week + photos weekly,Schedule posts; upload job photos; answer Q&A,GBP activity consistent,Usama Nizamani,Not Started,2026-04-13,2026-04-19,0,,,
T082,High,Week 9,Local SEO,Reviews,Request 5+ reviews/week + respond to all,Send review requests; respond within 48h,Review velocity maintained,Usama Nizamani,Not Started,2026-04-13,2026-04-19,0,,,
T083,Medium,Week 9,CRO,Landing Pages,Landing page CRO tweaks based on conversion rate,"Test headlines, proof placement, CTA; measure changes",Conversion improves over time,Usama Nizamani,Not Started,2026-04-13,2026-04-19,0,,,
T084,High,Week 10,SEO,Local SEO,Publish next 5 suburb pages (batch 8),Create next set; internal links,5 pages live,Usama Nizamani,Not Started,2026-04-20,2026-04-26,0,,,
T085,High,Week 10,Ads,Optimisation,"Optimise ads every 3 days (keywords, bids, negatives)","Mon/Thu/Sat: review search terms, negatives, bids; pause losers",Weekly notes show actions; CPCall trend improves,Usama Nizamani,Not Started,2026-04-20,2026-04-26,0,,,
T086,High,Week 10,Ops,Reporting,"Update KPI dashboard (spend, calls, jobs, revenue)",Fill Data Entry daily; review dashboard Monday,Dashboard up to date; decisions recorded,Usama Nizamani,Not Started,2026-04-20,2026-04-26,0,,,
T087,High,Week 10,SEO,Local SEO,Publish 5 suburb pages/week until 50+,Use template; unique intro/FAQs; add internal links; request index,5 pages/week live; indexed growth tracked,Usama Nizamani,Not Started,2026-04-20,2026-04-26,0,,,
T088,Medium,Week 10,Content,Blog,Publish 2 blogs/week (high intent),Use blog SOP; include CTA + FAQs + internal links,2 blogs/week live; impressions grow,Usama Nizamani,Not Started,2026-04-20,2026-04-26,0,,,
T089,High,Week 10,Off-Page,Links,Build 3–5 links/week (citations + outreach),3 citations + 2 outreach; track in off-page sheet,Links acquired and recorded,Usama Nizamani,Not Started,2026-04-20,2026-04-26,0,,,
T090,High,Week 10,Local SEO,GBP,GBP: 3 posts/week + photos weekly,Schedule posts; upload job photos; answer Q&A,GBP activity consistent,Usama Nizamani,Not Started,2026-04-20,2026-04-26,0,,,
T091,High,Week 10,Local SEO,Reviews,Request 5+ reviews/week + respond to all,Send review requests; respond within 48h,Review velocity maintained,Usama Nizamani,Not Started,2026-04-20,2026-04-26,0,,,
T092,Medium,Week 10,CRO,Landing Pages,Landing page CRO tweaks based on conversion rate,"Test headlines, proof placement, CTA; measure changes",Conversion improves over time,Usama Nizamani,Not Started,2026-04-20,2026-04-26,0,,,
T093,High,Week 11,SEO,Local SEO,Publish next 5 suburb pages (batch 9),Create next set; optimise based on impressions,5 pages live,Usama Nizamani,Not Started,2026-04-27,2026-05-03,0,,,
T094,High,Week 11,Ads,Optimisation,"Optimise ads every 3 days (keywords, bids, negatives)","Mon/Thu/Sat: review search terms, negatives, bids; pause losers",Weekly notes show actions; CPCall trend improves,Usama Nizamani,Not Started,2026-04-27,2026-05-03,0,,,
T095,High,Week 11,Ops,Reporting,"Update KPI dashboard (spend, calls, jobs, revenue)",Fill Data Entry daily; review dashboard Monday,Dashboard up to date; decisions recorded,Usama Nizamani,Not Started,2026-04-27,2026-05-03,0,,,
T096,High,Week 11,SEO,Local SEO,Publish 5 suburb pages/week until 50+,Use template; unique intro/FAQs; add internal links; request index,5 pages/week live; indexed growth tracked,Usama Nizamani,Not Started,2026-04-27,2026-05-03,0,,,
T097,Medium,Week 11,Content,Blog,Publish 2 blogs/week (high intent),Use blog SOP; include CTA + FAQs + internal links,2 blogs/week live; impressions grow,Usama Nizamani,Not Started,2026-04-27,2026-05-03,0,,,
T098,High,Week 11,Off-Page,Links,Build 3–5 links/week (citations + outreach),3 citations + 2 outreach; track in off-page sheet,Links acquired and recorded,Usama Nizamani,Not Started,2026-04-27,2026-05-03,0,,,
T099,High,Week 11,Local SEO,GBP,GBP: 3 posts/week + photos weekly,Schedule posts; upload job photos; answer Q&A,GBP activity consistent,Usama Nizamani,Not Started,2026-04-27,2026-05-03,0,,,
T100,High,Week 11,Local SEO,Reviews,Request 5+ reviews/week + respond to all,Send review requests; respond within 48h,Review velocity maintained,Usama Nizamani,Not Started,2026-04-27,2026-05-03,0,,,
T101,Medium,Week 11,CRO,Landing Pages,Landing page CRO tweaks based on conversion rate,"Test headlines, proof placement, CTA; measure changes",Conversion improves over time,Usama Nizamani,Not Started,2026-04-27,2026-05-03,0,,,
T102,High,Week 12,SEO,Review,Quarterly review + next 90-day roadmap,"Review KPIs, rankings, leads; adjust roadmap",Roadmap created,Usama Nizamani,Not Started,2026-05-04,2026-05-10,0,,,
T103,High,Week 12,Ads,Optimisation,"Optimise ads every 3 days (keywords, bids, negatives)","Mon/Thu/Sat: review search terms, negatives, bids; pause losers",Weekly notes show actions; CPCall trend improves,Usama Nizamani,Not Started,2026-05-04,2026-05-10,0,,,
T104,High,Week 12,Ops,Reporting,"Update KPI dashboard (spend, calls, jobs, revenue)",Fill Data Entry daily; review dashboard Monday,Dashboard up to date; decisions recorded,Usama Nizamani,Not Started,2026-05-04,2026-05-10,0,,,
T105,High,Week 12,SEO,Local SEO,Publish 5 suburb pages/week until 50+,Use template; unique intro/FAQs; add internal links; request index,5 pages/week live; indexed growth tracked,Usama Nizamani,Not Started,2026-05-04,2026-05-10,0,,,
T106,Medium,Week 12,Content,Blog,Publish 2 blogs/week (high intent),Use blog SOP; include CTA + FAQs + internal links,2 blogs/week live; impressions grow,Usama Nizamani,Not Started,2026-05-04,2026-05-10,0,,,
T107,High,Week 12,Off-Page,Links,Build 3–5 links/week (citations + outreach),3 citations + 2 outreach; track in off-page sheet,Links acquired and recorded,Usama Nizamani,Not Started,2026-05-04,2026-05-10,0,,,
T108,High,Week 12,Local SEO,GBP,GBP: 3 posts/week + photos weekly,Schedule posts; upload job photos; answer Q&A,GBP activity consistent,Usama Nizamani,Not Started,2026-05-04,2026-05-10,0,,,
T109,High,Week 12,Local SEO,Reviews,Request 5+ reviews/week + respond to all,Send review requests; respond within 48h,Review velocity maintained,Usama Nizamani,Not Started,2026-05-04,2026-05-10,0,,,
T110,Medium,Week 12,CRO,Landing Pages,Landing page CRO tweaks based on conversion rate,"Test headlines, proof placement, CTA; measure changes",Conversion improves over time,Usama Nizamani,Not Started,2026-05-04,2026-05-10,0,,,
T111,Medium,Week 1,Ops,Assets,Upload and share Next Level Setup PDF link,Upload iDry_Next_Level_Setup.pdf to Google Drive; paste share link in Links/Assets,Share link saved in sheet,Usama Nizamani,Not Started,,,0,,iDry_Next_Level_Setup.pdf,
